link,data
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"Modern software systems often handle vast amounts of sensitive data, and pipeline governance ensures that data handling practices throughout the development and deployment process adhere to regulations such as GDPR, CCPA, or industry-specific standards."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"As systems become more complex and interconnected, the need for transparency and explainability grows."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"Pipeline governance provides the necessary mechanisms to track the development and deployment of software, ensuring that there's a clear audit trail of how systems were built, tested, and put into production."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,This traceability is crucial when demonstrating compliance to regulators or explaining system behaviors to stakeholders.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Ethical considerations in software development have also come to the forefront in recent years.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Pipeline governance can incorporate checks to ensure systems are developed and deployed in line with ethical guidelines and organizational values.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"This might include tests for bias, fairness, and potential negative impacts on different user groups."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"In the age of AI, the importance of robust CI/CD pipeline governance has amplified significantly."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"AI systems often involve complex algorithms, vast amounts of data, and can have far-reaching impacts on users and businesses."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"As AI systems become more autonomous in decision-making, the need for transparency and explainability grows."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,The rapid evolution of AI technologies also necessitates strong governance to manage frequent updates and changes without compromising on compliance or security.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Pipeline governance ensures that each iteration goes through the necessary checks and balances before being deployed.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Having a strong governance framework allows organizations to quickly adapt their pipelines to new compliance requirements.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,This agility in compliance is crucial in a field where regulations are still catching up with technological advancements.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Implementing effective CI/CD pipeline governance in the age of AI requires a multifaceted approach.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"It starts with establishing clear policies outlining compliance requirements, security standards, and ethical guidelines for AI development."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,These policies should be embedded into the pipeline through automated checks and gates.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Leveraging advanced automation tools for continuous compliance checking throughout the pipeline is essential.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"These tools can scan code for vulnerabilities, check for adherence to coding standards, and even analyze AI models for potential biases or unexpected behaviors."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Robust version control and change management processes are also crucial components of pipeline governance.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"They ensure that every change to the codebase or AI model is tracked, reviewed, and approved before progressing through the pipeline."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,We can't forget logging and auditing.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Comprehensive logging and monitoring of all pipeline activities provide the necessary audit trails for compliance demonstration and post-incident analysis.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"In the context of AI, this extends to monitoring deployed models for performance drift or unexpected behaviors, ensuring ongoing compliance post-deployment."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Regular audits and reviews of the pipeline itself are also necessary to identify areas for improvement and ensure the governance framework remains effective as technologies and regulations evolve.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"Perhaps most importantly, fostering a culture of compliance and security awareness among development teams is crucial."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"In the DevOps world, where developers have increasing responsibility for the entire software lifecycle, ensuring they understand and prioritize compliance is key to effective governance."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,"To help you get started, we recommend that you download Data Governance Best Practices for Software Delivery."
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,Organizations that prioritize and implement effective pipeline governance will be well-positioned to leverage the full potential of AI while managing associated risks and compliance challenges.
https://thehackernews.com/2024/12/data-governance-in-devops-ensuring.html,This ebook will help you on your journey to innovate rapidly while maintaining compliance with regulatory requirements and organizational standards.
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,Fortinet has issued an advisory for a now-patched critical security flaw impacting Wireless LAN Manager (FortiWLM) that could lead to disclosure of sensitive information.
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"The vulnerability, tracked as CVE-2023-34990, carries a CVSS score of 9.6 out of a maximum of 10.0. It was originally fixed by Fortinet back in September 2023, but without a CVE designation."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"""A relative path traversal [CWE-23] in FortiWLM may allow a remote unauthenticated attacker to read sensitive files,"" the company said in an alert released Wednesday."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"However, according to a description of the security flaw in the NIST's National Vulnerability Database (NVD), the path traversal vulnerability could also be exploited by an attacker to ""execute unauthorized code or commands via specially crafted web requests."""
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,The flaw impacts the following versions of the product -
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,The company credited Horizon3.ai security researcher Zach Hanley for discovering and reporting the shortcoming.
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"It's worth mentioning here that CVE-2023-34990 refers to the ""unauthenticated limited file read vulnerability"" the cybersecurity company revealed back in March as part of a broader set of six flaws in FortiWLM."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"""This vulnerability allows remote, unauthenticated attackers to access and abuse builtin functionality meant to read specific log files on the system via a crafted request to the /ems/cgi-bin/ezrf_lighttpd.cgi endpoint,"" Hanley said at the time."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"""This issue results from the lack of input validation on request parameters allowing an attacker to traverse directories and read any log file on the system."""
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"A successful exploitation of CVE-2023-34990 could allow the threat actor to read FortiWLM log files and get hold of the session ID of a user and login, thereby allowing them to exploit authenticated endpoints as well."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"To make matters worse, the attackers could take advantage of the fact that the web session IDs are static between user sessions to hijack them and gain administrative permissions to the appliance."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,That's not all.
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"An attacker could also combine CVE-2023-34990 with CVE-2023-48782 (CVSS score: 8.8), an authenticated command injection flaw that has also been fixed in FortiWLM 8.6.6, to obtain remote code execution in the context of root."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,Separately patched by Fortinet is a high-severity operating system command injection vulnerability in FortiManager that may allow an authenticated remote attacker to execute unauthorized code via FGFM-crafted requests.
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"The vulnerability (CVE-2024-48889, CVSS score: 7.2) has been addressed in the below versions -"
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"Fortinet also noted that a number of older models, 1000E, 1000F, 2000E, 3000E, 3000F, 3000G, 3500E, 3500F, 3500G, 3700F, 3700G, and 3900E, are affected by CVE-2024-48889 provided the ""fmg-status"" is enabled."
https://thehackernews.com/2024/12/fortinet-warns-of-critical-fortiwlm.html,"With Fortinet devices becoming an attack magnet for threat actors, it's essential that users keep their instances up-to-date to safeguard against potential threats."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,Threat actors are attempting to exploit a recently disclosed security flaw impacting Apache Struts that could pave the way for remote code execution.
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"The issue, tracked as CVE-2024-53677, carries a CVSS score of 9.5 out of 10.0, indicating critical severity."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"The vulnerability shares similarities with another critical bug the project maintainers addressed in December 2023 (CVE-2023-50164, CVSS score: 9.8), which also came under active exploitation shortly after public disclosure."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"""An attacker can manipulate file upload params to enable paths traversal and under some circumstances this can lead to uploading a malicious file which can be used to perform Remote Code Execution,"" according to the Apache advisory."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"In other words, successful exploitation of the flaw could allow a malicious actor to upload arbitrary payloads to susceptible instances, which could then be leveraged to run commands, exfiltrate data, or download additional payloads for follow-on exploitation."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"The vulnerability impacts the following versions, and has been patched in Struts 6.4.0 or greater -"
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"Dr. Johannes Ullrich, dean of research for SANS Technology Institute, said that an incomplete patch for CVE-2023-50164 may have led to the new problem, adding exploitation attempts matching the publicly-released proof-of-concept (PoC) have been detected in the wild."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"""At this point, the exploit attempts are attempting to enumerate vulnerable systems,"" Ullrich noted. ""Next, the attacker attempts to find the uploaded script."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"So far, the scans originate only from 169.150.226[.]162."""
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"To mitigate the risk, users are recommended to upgrade to the latest version as soon as possible and rewrite their code to use the new Action File Upload mechanism and related interceptor."
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"""Apache Struts sits at the heart of many corporate IT stacks, driving public-facing portals, internal productivity applications, and critical business workflows,"" Saeed Abbasi, product manager of Threat Research Unit at Qualys, said. ""Its popularity in high-stakes contexts means that a vulnerability like CVE-2024-53677 could have far-reaching implications."""
https://thehackernews.com/2024/12/patch-alert-critical-apache-struts-flaw.html,"Attack surface management company Censys said that it has observed 13,539 exposed web applications utilizing the Apache Struts framework, although it bears noting that not all of these instances are running a susceptible version. ""A large proportion of these (69%) are geolocated in the United States,"" it said."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Having been at ActiveState for nearly eight years, I've seen many iterations of our product."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"However, one thing has stayed true over the years: Our commitment to the open source community and companies using open source in their code."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,ActiveState has been helping enterprises manage open source for over a decade.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"In the early days, open source was in its infancy."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"We focused mainly on the developer case, helping to get open source on platforms like Windows."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Over time, our focus shifted from helping companies run open source to supporting enterprises managing open source when the community wasn't producing it in the way they needed it."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"We began managing builds at scale, and supporting enterprises in understanding what open source they're using and if it's compliant and safe."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Managing open source at scale in a large organization can be complex.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"To help companies overcome this and bring structure to their open source DevSecOps practice, we're unveiling our end-to-end platform to help manage open source complexity."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,It's inevitable that with the soaring popularity of open source comes an influx of security issues.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Open source adoption in modern software applications is significant.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Over 90% of applications contain open source components.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Open source is now at the core of how we produce software, and we've hit a point where it's the primary vector for bad actors to get access to nearly any piece of software."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Attacks have been around forever, but there's been an increasing number of incidents in recent years."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,The pandemic surfaced new opportunities for bad actors.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"When people were using their own home networks and VPNs with less stringent security measures, it started to allow for more risk."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Despite return to office efforts, many IT workers are still at home, so these opportunities still exist."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Additionally, many enterprises don't have processes in place for how they choose and procure open source software, so devs blindly find and incorporate it."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"The challenge is companies then don't know where open source code is coming from, who built it, and with what intentions."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,This creates multiple opportunities for attacks to happen throughout the open source software supply chain process.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Open source is an open ecosystem, which makes it vulnerable 'by design.' It needs to be as open as possible to not hinder authors from contributing, but there's a real challenge of keeping it secure throughout the entire development process."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Risks don't just exist when you're importing.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"If your build service isn't secure when you start building, you can be at risk."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Many of the most recent attacks we've seen are open source software supply chain attacks not vulnerabilities.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,This requires a whole new approach to open source security.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"At ActiveState, it's our mission to bring rigor to the open source supply chain."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Companies can get better visibility and control over their open source code across DevSecOps by focusing on a four-step management cycle.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Before you can even begin to remediate vulnerabilities, you need to know what you're using in your code."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,It's important to take inventory of all the open source that's running within your organization.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,An artifact of this effort could look like a dashboard.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Once you have the dashboard, you can start analyzing for vulnerabilities and dependencies and prioritize which to focus on first."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Understanding where the risks are in your codebase and triaging them will help you make informed decisions about next steps.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Now comes the remediation and change management phase.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,You'll want to establish governance and policies for managing open source across your org to keep everyone aligned across functions and teams.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,You should also closely manage what dependencies are used in both production and development environments to minimize risk.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"In our platform, we maintain a large immutable catalogue of open source software."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"We keep a consistent, reproducible record of around 50 million version components, and we are constantly adding to it."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,It helps our users make sure they can always get back to reproducible builds.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,It means you can curate the entire internet for open source while trusting it's secure.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,The build and deploy phase involves incorporating secure and safe open source components into your code - because you're not really remedied and secure until the fixes are deployed.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"At ActiveState, we build and track everything."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,From when we ingest source code to when we build it into a secure cluster.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,We then give it to you in a variety of formats to be deployed depending on your needs.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"We're the only solution (that we know of) that truly helps companies remediate and deploy, completing the full lifecycle of ensuring software supply chain security."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Through our work in open source over the past decade, we've discovered there's a gap between the passionate communities producing open source and the enterprises that want to use it in their software."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"We're now helping to close that gap, empowering the open source ecosystem while bringing security to organizations."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"The refreshed platform we've developed and focused on facilitating collaboration between various players across organizations, including developers, DevOps, and security."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Our platform helps teams smoothly run a continuous cycle of managing open source.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,There are six key use cases we're focused on helping teams drive outcomes around.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"If your team can use support for any of these use cases, our new platform can help."
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,Explore the refreshed ActiveState platform with a Platform Enterprise Trial today.
https://thehackernews.com/2024/12/not-your-old-activestate-introducing.html,"Note: This insightful article is brought to you by Pete Garcin, Senior Director of Product at ActiveState, sharing his expertise and unique perspective on the evolving challenges and solutions in open source management."
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,BeyondTrust has disclosed details of a critical security flaw in Privileged Remote Access (PRA) and Remote Support (RS) products that could potentially lead to the execution of arbitrary commands.
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"Privileged Remote Access controls, manages, and audits privileged accounts and credentials, offering zero trust access to on-premises and cloud resources by internal, external, and third-party users."
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,Remote Support allows service desk personnel to securely connect to remote systems and mobile devices.
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"The vulnerability, tracked as CVE-2024-12356 (CVSS score: 9.8), has been described as an instance of command injection."
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"""A critical vulnerability has been discovered in Privileged Remote Access (PRA) and Remote Support (RS) products which can allow an unauthenticated attacker to inject commands that are run as a site user,"" the company said in an advisory."
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"An attacker could exploit the flaw by sending a malicious client request, effectively leading to the execution of arbitrary operating systems within the context of the site user."
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,The issue impacts the following versions -
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"A patch for the vulnerability has already been applied to cloud instances as of December 16, 2024. Users of on-premise versions of the software are recommended to apply the latest fixes if they are not subscribed to automatic updates."
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"""If customers are on a version older than 22.1, they will need to upgrade in order to apply this patch,"" BeyondTrust said."
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"The company said the shortcoming was uncovered during an ongoing forensics investigation that was initiated following a ""security incident"" on December 2, 2024, involving a ""limited number of Remote Support SaaS customers."""
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"""A root cause analysis into a Remote Support SaaS issue identified an API key for Remote Support SaaS had been compromised,"" BeyondTrust said, adding it ""immediately revoked the API key, notified known impacted customers, and suspended those instances the same day while providing alternative Remote Support SaaS instances for those customers."""
https://thehackernews.com/2024/12/beyondtrust-issues-urgent-patch-for.html,"BeyondTrust also said it's still working to determine the cause and impact of the compromise in partnership with an unnamed ""cybersecurity and forensics firm."""
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Monday added two security flaws to its Known Exploited Vulnerabilities (KEV) catalog, citing evidence of active exploitation in the wild."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,The list of flaws is below -
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"Taiwanese cybersecurity company DEVCORE, which discovered and reported CVE-2024-35250, shared additional technical details in August 2024, stating it's rooted in the Microsoft Kernel Streaming Service (MSKSSRV)."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"There are currently no details on how the shortcomings are being weaponized in real-world attacks, although proof-of-concept (PoC) exploits for both of them exist in the public domain."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"In light of active exploitation, Federal Civilian Executive Branch (FCEB) agencies are recommended to apply the necessary remediation by January 6, 2025, to secure their networks."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"The development follows an alert from the Federal Bureau of Investigation (FBI) about HiatusRAT campaigns expanding beyond network edge devices like routers to scan Internet of Things (IoT) devices from Hikvision, D-Link, and Dahua located in the U.S., Australia, Canada, New Zealand, and the United Kingdom."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"""The actors scanned web cameras and DVRs for vulnerabilities including CVE-2017-7921, CVE-2018-9995, CVE-2020-25078, CVE-2021-33044, CVE-2021-36260, and weak vendor-supplied passwords,"" the FBI said. ""Many of these vulnerabilities have not yet been mitigated by the vendors."""
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"The malicious activity, observed in March 2024, involved the use of open-source utilities called Ingram and Medusa for scanning and brute-force authentication cracking."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"The warnings also come as Forescout Vedere Labs, with intelligence shared by PRODAFT, revealed last week that threat actors have exploited security flaws in DrayTek routers to target over 20,000 DrayTek Vigor devices as part of a coordinated ransomware campaign between August and September 2023."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"""The operation exploited a suspected zero-day vulnerability, enabling attackers to infiltrate networks, steal credentials, and deploy ransomware,"" the company said, adding the campaign ""involved three distinct threat actors – Monstrous Mantis (Ragnar Locker), Ruthless Mantis (PTI-288) and LARVA-15 (Wazawaka) – who followed a structured and efficient workflow."""
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"Monstrous Mantis is believed to have identified and exploited the vulnerability and systematically harvested credentials, which were then cracked and shared with trusted partners like Ruthless Mantis and LARVA-15."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"The attacks ultimately allowed the collaborators to conduct post-exploitation activities, including lateral movement and privilege escalation, ultimately leading to the deployment of different ransomware families such as RagnarLocker, Nokoyawa, RansomHouse, and Qilin."
https://thehackernews.com/2024/12/cisa-and-fbi-raise-alerts-on-exploited.html,"""Monstrous Mantis withheld the exploit itself, retaining exclusive control over the initial access phase,"" the company said. ""This calculated structure allowed them to profit indirectly, as ransomware operators who successfully monetized their intrusions were obliged to share a percentage of their proceeds."""
